SAPSyncPlant,SapSyncAvailableRetries,SAPSyncEvent,SAPSyncTagID,SAPSyncUser,SAPSyncScanZone,id,SAPSync,ScanZone,SAPSyncErrorMessage,SAPSyncTime,serialTag,serial
7394,3,ChangeStatus,20130922872603000101A641,root,7394_INUSE,3561,false,7394_InUse,Tag ID :20130922872603000101A641 Not assosciated to any Equipment.,1439404403126,20130922872603000101A641,12582490
7394,4,ChangeStatus,20130922872603000101A83A,root,7394_INUSE,10999,false,7394_InUse,Tag ID :20130922872603000101A83A Not assosciated to any Equipment.,1442699205739,20130922872603000101A83A,12586082
7394,4,ChangeStatus,2013091487260300010129C4,root,7394_INUSE,10855,false,7394_InUse,Tag ID :2013091487260300010129C4 Not assosciated to any Equipment.,1442693998183,2013091487260300010129C4,12586093
7394,4,ChangeStatus,2013091287260300010102A7,root,7394_NI,11100,false,7394_NI,Tag ID :2013091287260300010102A7 Not assosciated to any Equipment.,1443445154133,2013091287260300010102A7,12586104
7394,4,ChangeStatus,201309148726030001012A93,root,7394_NI,11098,false,7394_NI,Tag ID :201309148726030001012A93 Not assosciated to any Equipment.,1443445150774,201309148726030001012A93,12586107
7370,4,ChangeStatus,20130923872603000101AF86,root,7370_LOCALRDTEST,3819,false,7370_LocalRDTest,Tag ID :20130923872603000101AF86 Not assosciated to any Equipment.,1442501472656,20130923872603000101AF86,12587442
7395,4,ChangeStatus,201309148726030001011C22,bupkaw,7395_AVAILABLE,6122,false,7395_Available,Tag ID :201309148726030001011C22 Not assosciated to any Equipment.,1438116920163,201309148726030001011C22,12595304
7395,4,ChangeStatus,201309198726030001015AF8,root,7395_NI,6112,false,7395_NI,Tag ID :201309198726030001015AF8 Not assosciated to any Equipment.,1440421057186,201309198726030001015AF8,12602093
7395,4,ChangeStatus,201309228726030001019474,root,7395_NI,6350,false,7395_NI,Tag ID :201309228726030001019474 Not assosciated to any Equipment.,1438627931742,201309228726030001019474,12603687
7394,4,ChangeStatus,20130912872603000101030B,root,7394_INUSE,10678,false,7394_InUse,Tag ID :20130912872603000101030B Not assosciated to any Equipment.,1441817702781,20130912872603000101030B,12610538
7394,3,ChangeStatus,201309158726030001012FBF,root,7394_INUSE,4506,false,7394_InUse,Tag ID :201309158726030001012FBF Not assosciated to any Equipment.,1442285845277,201309158726030001012FBF,12610573
7370,4,ChangeStatus,201309228726030001019D09,root,7370_NI,3821,false,7370_NI,Tag ID :201309228726030001019D09 Not assosciated to any Equipment.,1442501506049,201309228726030001019D09,12614646
7370,4,ChangeStatus,201309228726030001019D4B,root,7370_NI,3823,false,7370_NI,Tag ID :201309228726030001019D4B Not assosciated to any Equipment.,1442501508705,201309228726030001019D4B,12614647
7394,4,ChangeStatus,20130922872603000101A23D,root,7394_INUSE,11003,false,7394_InUse,Tag ID :20130922872603000101A23D Not assosciated to any Equipment.,1442694006480,20130922872603000101A23D,12616823
7395,3,ChangeStatus,201309198726030001015F37,root,7395_NI,6055,false,7395_NI,Tag ID :201309198726030001015F37 Not assosciated to any Equipment.,1440163917722,201309198726030001015F37,12619782
7395,4,ChangeStatus,2013092187260300010191DA,root,7395_NI,5852,false,7395_NI,Tag ID :2013092187260300010191DA Not assosciated to any Equipment.,1438608589957,2013092187260300010191DA,12620251
7394,4,ChangeStatus,201309158726030001012F9D,root,7394_INUSE,10506,false,7394_InUse,Tag ID :201309158726030001012F9D Not assosciated to any Equipment.,1442042185262,201309158726030001012F9D,12623654
